SERVICE_REQUEST_NUMBER,ADDRESS,CITY_COUNCIL_DISTRICT,DEPARTMENT,SERVICE_REQUEST_TYPE,ERT(ESTIMATED_RESPONSE_TIME),ERT_MEASURED_IN,OVERALL_SERVICE_REQUEST_DUE_DATE,STATUS,CREATED_DATE,UPDATED_DATE,CLOSED_DATE,OUTCOME,PRIORITY,METHOD_RECEIVED_DESC,LAT_LONG_VALUE,UNIQUE_KEY
20-00022208,"S HAMPTON RD & W ILLINOIS AVE, DALLAS, TX, 75224",1,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,01/23/2020 10:38:01 AM,Closed,01/08/2020 10:38:01 AM,01/27/2020 02:06:18 AM,01/08/2020 10:38:01 AM,Work Completed,Standard,API,"(32.72023952191192000,-96.85695091781345000)",500t000000Q0IqAAAV
19-01265587,"4200 ASH LN, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/06/2020 11:59:00 PM,Closed,10/28/2019 12:01:39 PM,01/27/2020 02:51:11 AM,10/28/2019 12:01:39 PM,,Standard,API,"(32.78620901143219000,-96.76610882199600000)",500t000000NtWXkAAN
19-01412289,"2843 S MARSALIS AVE, DALLAS, TX, 75216",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/17/2020 11:59:00 PM,Closed,12/09/2019 11:34:11 AM,01/27/2020 02:55:09 AM,12/09/2019 11:34:11 AM,Investigation Complete,Standard,API,"(32.71240194916332000,-96.81479502429463000)",500t000000OenJ5AAJ
19-01303381,"2026 N HENDERSON AVE, DALLAS, TX, 75206",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/16/2020 11:59:00 PM,Closed,11/07/2019 12:13:59 PM,01/27/2020 01:58:07 AM,11/07/2019 12:13:59 PM,Investigation Complete,Standard,API,"(32.81236453629327000,-96.77541346335703000)",500t000000NiTHiAAN
19-01181101,"GASTON AVE & SKILLMAN ST, DALLAS, TX, 75214",14,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,10/18/2019 06:31:09 AM,Closed,10/04/2019 06:31:09 AM,01/27/2020 12:56:58 AM,10/04/2019 06:31:09 AM,Work Completed,Standard,Proactive,"(32.80894780856042000,-96.75874088864097000)",500t000000N4Ec8AAF
19-01186028,"1701 S AKARD ST, DALLAS, TX, 75215",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/13/2019 11:59:00 PM,Closed,10/05/2019 09:17:51 AM,01/27/2020 01:52:54 AM,10/05/2019 09:17:51 AM,Investigation Complete,Standard,API,"(32.76861777742584500,-96.79118851084735000)",500t000000N4X5CAAV
19-01335591,"4618 DOLPHIN RD, DALLAS, TX, 75223",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/24/2020 11:59:00 PM,Closed,11/15/2019 03:13:24 PM,01/27/2020 02:41:25 AM,11/15/2019 03:13:24 PM,Investigation Complete,Standard,API,"(32.77888204174125000,-96.73752738613285000)",500t000000OcBGTAA3
19-01271236,"413 W JEFFERSON BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/07/2020 11:59:00 PM,Closed,10/29/2019 02:23:20 PM,01/27/2020 02:52:06 AM,10/29/2019 02:23:20 PM,Investigation Complete,Standard,API,"(32.74332751999425000,-96.82859673866069000)",500t000000NuY5aAAF
19-01169935,"2656 MAIN ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/10/2019 11:59:00 PM,Closed (Duplicate),10/01/2019 02:18:35 PM,01/27/2020 01:13:40 AM,10/01/2019 02:18:35 PM,Investigation Complete,Standard,API,"(32.78348799258519400,-96.78506827825147000)",500t000000N3QETAA3
19-01427564,"1602 TRIBECA WAY, DALLAS, TX, 75204",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/20/2020 11:59:00 PM,In Progress,12/12/2019 01:42:59 PM,01/27/2020 02:04:27 AM,12/12/2019 01:42:59 PM,,Standard,API,"(32.79786876675114000,-96.78459406081160000)",500t000000OfTBrAAN
19-01194927,"4132 COLE AVE, DALLAS, TX, 75204",14,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,10/28/2019 10:59:00 PM,Closed,10/08/2019 12:24:34 PM,01/27/2020 02:32:09 AM,10/08/2019 12:24:34 PM,No Action Required,Standard,Phone,"(32.81516656266230600,-96.79300331646988000)",500t000000N5A9XAAV
19-01241236,"1900 RAMSEY AVE, DALLAS, TX, 75216",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/30/2019 11:59:00 PM,Closed,10/21/2019 02:45:27 PM,01/27/2020 02:52:52 AM,10/21/2019 02:45:27 PM,Investigation Complete,Standard,API,"(32.72505447686775400,-96.82027875548103000)",500t000000NZW9VAAX
19-01431988,"2604 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/21/2020 11:59:00 PM,In Progress,12/13/2019 01:37:35 PM,01/27/2020 02:29:26 AM,12/13/2019 01:37:35 PM,,Standard,API,"(32.78399649681182000,-96.78629584184733000)",500t000000PxM8qAAF
19-01338028,"4001 EAST SIDE AVE, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/24/2020 11:59:00 PM,Closed,11/16/2019 02:59:09 PM,01/27/2020 02:41:22 AM,11/16/2019 02:59:09 PM,Investigation Complete,Standard,API,"(32.78714009698436000,-96.77105945926488000)",500t000000OcF71AAF
19-01339634,"3000 MAIN ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/27/2020 11:59:00 PM,New,11/18/2019 07:08:59 AM,01/27/2020 02:45:49 AM,11/18/2019 07:08:59 AM,,Standard,API,"(32.78437497982040600,-96.78050239685221000)",500t000000OcJIXAA3
19-01226014,"6843 SHADY BROOK LN, DALLAS, TX, 75231",13,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,In Progress,10/16/2019 05:24:46 PM,01/27/2020 02:21:54 AM,10/16/2019 05:24:46 PM,,Standard,API,"(32.86985600319676600,-96.76309409366462000)",500t000000NWmPNAA1
19-01419584,"ARIZONA AVE & IOWA AVE, DALLAS, TX, 75216",4,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,12/30/2019 11:59:00 PM,Closed,12/10/2019 04:41:16 PM,01/27/2020 02:03:09 AM,12/10/2019 04:41:16 PM,Work Completed,Standard,Phone,"(32.72632414041980000,-96.81806448931972000)",500t000000Of4fmAAB
19-01402846,"4602 COLUMBIA AVE, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/13/2020 11:59:00 PM,Closed,12/05/2019 02:23:49 PM,01/27/2020 02:28:07 AM,12/05/2019 02:23:49 PM,Investigation Complete,Standard,API,"(32.79254178084165000,-96.76648658850344000)",500t000000OeTIgAAN
19-01392386,"4832 GASTON AVE, DALLAS, TX, 75246",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/11/2020 11:59:00 PM,Closed,12/03/2019 02:53:07 PM,01/27/2020 02:37:33 AM,12/03/2019 02:53:07 PM,Investigation Complete,Standard,API,"(32.79920462502013000,-96.77024881824765000)",500t000000Oe8MmAAJ
19-01397616,"1515 E 8TH ST, DALLAS, TX, 75203",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/12/2020 11:59:00 PM,Closed,12/04/2019 02:03:06 PM,01/27/2020 02:27:08 AM,12/04/2019 02:03:06 PM,Investigation Complete,Standard,API,"(32.75060593607407400,-96.80235439373517000)",500t000000OeIfUAAV
19-01275309,"309 W KIEST BLVD, DALLAS, TX, 75224",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/08/2020 11:59:00 PM,Closed,10/30/2019 02:20:17 PM,01/27/2020 02:40:44 AM,10/30/2019 02:20:17 PM,Investigation Complete,Standard,API,"(32.70555592880191000,-96.82851015609401000)",500t000000Nusp4AAB
19-01227736,"311 S ZANG BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/26/2019 11:59:00 PM,New (Duplicate),10/17/2019 10:28:26 AM,01/27/2020 02:21:22 AM,10/17/2019 10:28:26 AM,,Standard,API,"(32.74258975482107600,-96.82481880477792000)",500t000000NWvwkAAD
19-01281036,"2015 CORINTH ST, DALLAS, TX, 75215",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/10/2020 11:59:00 PM,Closed,11/01/2019 08:18:19 AM,01/27/2020 02:24:47 AM,11/01/2019 08:18:19 AM,Investigation Complete,Standard,API,"(32.77176750493362000,-96.78230391622360000)",500t000000Nv4zaAAB
19-01342946,"4618 DOLPHIN RD, DALLAS, TX, 75223",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/27/2020 11:59:00 PM,Closed,11/18/2019 02:53:43 PM,01/27/2020 02:46:09 AM,11/18/2019 02:53:43 PM,Investigation Complete,Standard,API,"(32.77888204174125000,-96.73752738613285000)",500t000000OcPt5AAF
19-01305620,"4100 LIVE OAK ST, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/16/2020 11:59:00 PM,Closed (Duplicate),11/07/2019 05:33:52 PM,01/27/2020 01:57:52 AM,11/07/2019 05:33:52 PM,,Standard,API,"(32.79645071380879500,-96.77968873882298000)",500t000000NiX94AAF
19-01375932,"1508 FORT WORTH AVE, DALLAS, TX, 75208",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/05/2020 11:59:00 PM,Closed,11/27/2019 08:53:26 AM,01/27/2020 02:39:02 AM,11/27/2019 08:53:26 AM,Investigation Complete,Standard,API,"(32.76560307952549000,-96.84397938525525000)",500t000000OdZGjAAN
19-01339666,"2730 COMMERCE ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/27/2020 11:59:00 PM,Closed,11/18/2019 07:28:11 AM,01/27/2020 02:45:47 AM,11/18/2019 07:28:11 AM,Investigation Complete,Standard,API,"(32.78296867106874400,-96.78376270181963000)",500t000000OcJP4AAN
20-00024623,"8700 ELAM RD, DALLAS, TX, 75217",5,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,01/29/2020 11:59:00 PM,Closed,01/08/2020 04:26:00 PM,01/27/2020 02:07:04 AM,01/08/2020 04:26:00 PM,Work Could not be Completed,Standard,Phone,"(32.71937743400510000,-96.67187953837826000)",500t000000Q0NqPAAV
19-01213893,"900 W DAVIS ST, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/23/2019 11:59:00 PM,Closed,10/14/2019 09:34:31 AM,01/27/2020 02:49:55 AM,10/14/2019 09:34:31 AM,Investigation Complete,Standard,API,"(32.74935605648287400,-96.83764334842296000)",500t000000N6WlrAAF
19-01395793,"3008 ROSS AVE, DALLAS, TX, 75204",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/12/2020 11:59:00 PM,Closed,12/04/2019 11:08:16 AM,01/27/2020 02:38:28 AM,12/04/2019 11:08:16 AM,Investigation Complete,Standard,API,"(32.79302580151896000,-96.79172553208902000)",500t000000OeFbyAAF
19-01444445,"2811 W BROOKLYN AVE, DALLAS, TX, 75211",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/25/2020 11:59:00 PM,Closed,12/17/2019 08:14:03 PM,01/27/2020 02:05:26 AM,12/17/2019 08:14:03 PM,Investigation Complete,Standard,API,"(32.73931264188171000,-96.86646711637559000)",500t000000PxpUOAAZ
19-01393027,"216 N CORINTH ST RD, DALLAS, TX, 75203",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/11/2020 11:59:00 PM,Closed,12/03/2019 04:04:39 PM,01/27/2020 02:38:08 AM,12/03/2019 04:04:39 PM,Investigation Complete,Standard,API,"(32.74964278864251000,-96.79863705508839000)",500t000000Oe9SCAAZ
19-01223467,"4674 CEDAR PATH DR, DALLAS, TX, 75211",3,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,New (Duplicate),10/16/2019 10:29:38 AM,01/27/2020 02:21:37 AM,10/16/2019 10:29:38 AM,,Standard,API,"(32.72090102596423000,-96.89941033618912000)",500t000000NWX52AAH
19-01444412,"3036 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/25/2020 11:59:00 PM,Closed,12/17/2019 08:05:03 PM,01/27/2020 02:05:43 AM,12/17/2019 08:05:03 PM,Investigation Complete,Standard,API,"(32.78522128427139000,-96.78014015323930000)",500t000000PxpRAAAZ
19-01335232,"1900 CORINTH ST, DALLAS, TX, 75215",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/24/2020 11:59:00 PM,Closed,11/15/2019 02:28:57 PM,01/27/2020 02:41:53 AM,11/15/2019 02:28:57 PM,Investigation Complete,Standard,API,"(32.77029939654763000,-96.78325585558567000)",500t000000OcAeoAAF
19-01301243,"1717 N PEAK ST, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/15/2020 11:59:00 PM,Closed (Duplicate),11/06/2019 05:53:20 PM,01/27/2020 01:57:20 AM,11/06/2019 05:53:20 PM,,Standard,API,"(32.80123764131310000,-96.78233769430491000)",500t000000NiNw6AAF
19-01442249,"N COLLETT AVE & COLUMBIA AVE, DALLAS, TX, 75214",14,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,12/31/2019 01:23:58 PM,Closed,12/17/2019 01:23:58 PM,01/27/2020 02:05:26 AM,12/17/2019 01:23:58 PM,Work Completed,Standard,Proactive,"(32.79660112890271000,-96.76200461017095000)",500t000000Pxl63AAB
19-01426933,"904 N EWING AVE, DALLAS, TX, 75203",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/20/2020 11:59:00 PM,Closed,12/12/2019 12:03:47 PM,01/27/2020 02:28:46 AM,12/12/2019 12:03:47 PM,Investigation Complete,Standard,API,"(32.75885330082345000,-96.81256902953304000)",500t000000OfRjcAAF
19-01268057,"4801 TREMONT ST, DALLAS, TX, 75246",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/07/2020 11:59:00 PM,Closed (Duplicate),10/29/2019 05:42:29 AM,01/27/2020 02:51:32 AM,10/29/2019 05:42:29 AM,Investigation Complete,Standard,API,"(32.79687947039361000,-96.76816463827745000)",500t000000Nu5I6AAJ
19-01341607,"2811 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/27/2020 11:59:00 PM,Closed,11/18/2019 11:58:00 AM,01/27/2020 02:46:01 AM,11/18/2019 11:58:00 AM,Investigation Complete,Standard,API,"(32.78485328886671000,-96.78350168373940000)",500t000000OcNM9AAN
19-01193566,"W JEFFERSON BLVD & N PLYMOUTH RD, DALLAS, TX, 75211",1,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,10/22/2019 08:55:35 AM,Closed,10/08/2019 08:55:35 AM,01/27/2020 02:32:07 AM,10/08/2019 08:55:35 AM,Work Completed,Standard,Proactive,"(32.74781894117647600,-96.86263570752264000)",500t000000N53FYAAZ
19-01428251,"1106 GRAHAM AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/20/2020 11:59:00 PM,In Progress,12/12/2019 03:17:44 PM,01/27/2020 02:28:38 AM,12/12/2019 03:17:44 PM,,Standard,API,"(32.79376598075979400,-96.74877070030585000)",500t000000OfUncAAF
19-01255030,"2233 N PRAIRIE CREEK RD, DALLAS, TX, 75227",5,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/02/2020 11:59:00 PM,Closed,10/24/2019 02:36:17 PM,01/27/2020 01:51:08 AM,10/24/2019 02:36:17 PM,Investigation Complete,Standard,API,"(32.75056595591171000,-96.66536838331580000)",500t000000NrjBeAAJ
19-01425842,"5111 CAPITOL AVE, DALLAS, TX, 75206",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/20/2020 11:59:00 PM,In Progress,12/12/2019 09:33:13 AM,01/27/2020 02:28:52 AM,12/12/2019 09:33:13 AM,,Standard,API,"(32.81346540954717000,-96.78008793746264000)",500t000000OfPVTAA3
19-01392280,"3826 ROSS AVE, DALLAS, TX, 75204",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/11/2020 11:59:00 PM,New,12/03/2019 02:38:50 PM,01/27/2020 02:37:28 AM,12/03/2019 02:38:50 PM,,Standard,API,"(32.79806739470469500,-96.78572370342913000)",500t000000Oe88zAAB
19-01418400,"4901 TREMONT ST, DALLAS, TX, 75214",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/18/2020 11:59:00 PM,In Progress,12/10/2019 02:28:50 PM,01/27/2020 02:55:38 AM,12/10/2019 02:28:50 PM,,Standard,API,"(32.79801562090172000,-96.76679803004670000)",500t000000Of2dPAAR
19-01237136,"BOLL ST & N CENTRAL SERV NB, DALLAS, TX, 75204",14,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,11/01/2019 10:59:00 PM,Closed,10/20/2019 06:17:19 PM,01/27/2020 02:53:18 AM,10/20/2019 06:17:19 PM,Work Completed,Standard,API,"(32.78961359239844600,-96.79163053582838000)",500t000000NZ9UoAAL
19-01338090,"2624 S CESAR CHAVEZ BLVD, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/24/2020 11:59:00 PM,In Progress,11/16/2019 03:33:23 PM,01/27/2020 02:41:59 AM,11/16/2019 03:33:23 PM,,Standard,API,"(32.76768728175407000,-96.77798881025797000)",500t000000OcFD4AAN
19-01333902,"2911 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/24/2020 11:59:00 PM,New (Duplicate),11/15/2019 11:28:04 AM,01/27/2020 02:41:37 AM,11/15/2019 11:28:04 AM,,Standard,API,"(32.78506681071800000,-96.78230757874800000)",500t000000Oc8K3AAJ
19-01480884,"2076 N FITZHUGH AVE, DALLAS, TX, 75204",2,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,01/21/2020 11:59:00 PM,Closed,12/30/2019 12:36:10 PM,01/27/2020 02:00:39 AM,12/30/2019 12:36:10 PM,Work Could not be Completed,Standard,API,"(32.80944513179678000,-96.77980919128326000)",500t000000PzInIAAV
19-01355923,"4900 BRYAN ST, DALLAS, TX, 75206",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/30/2020 11:59:00 PM,Closed,11/21/2019 11:29:18 AM,01/27/2020 02:47:06 AM,11/21/2019 11:29:18 AM,Investigation Complete,Standard,API,"(32.80375825925522000,-96.77340368412689000)",500t000000OcrADAAZ
19-01225913,"1323 N MADISON AVE, DALLAS, TX, 75203",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,In Progress,10/16/2019 04:19:23 PM,01/27/2020 02:21:50 AM,10/16/2019 04:19:23 PM,,Standard,API,"(32.75785636788986500,-96.82214249846360000)",500t000000NWkhjAAD
19-01418365,"1702 MARTIN LUTHER KING JR BLVD, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/18/2020 11:59:00 PM,Closed,12/10/2019 02:23:32 PM,01/27/2020 02:55:23 AM,12/10/2019 02:23:32 PM,Investigation Complete,Standard,API,"(32.76198330223956400,-96.77651532507950000)",500t000000Of2ZNAAZ
19-01264929,"12501 HORNBEAM DR, DALLAS, TX, 75243",10,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/06/2020 11:59:00 PM,Closed,10/28/2019 10:18:30 AM,01/27/2020 02:51:10 AM,10/28/2019 10:18:30 AM,Investigation Complete,Standard,API,"(32.91761660303847500,-96.70829666819552000)",500t000000NtRAbAAN
19-01376839,"520 W JEFFERSON BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/05/2020 11:59:00 PM,In Progress,11/27/2019 10:53:35 AM,01/27/2020 02:39:17 AM,11/27/2019 10:53:35 AM,,Standard,API,"(32.74297600538993000,-96.83065372586687000)",500t000000OdauBAAR
19-01186128,"2220 S LAMESA ST, DALLAS, TX, 75215",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/13/2019 11:59:00 PM,Closed,10/05/2019 10:02:56 AM,01/27/2020 01:53:02 AM,10/05/2019 10:02:56 AM,Investigation Complete,Standard,API,"(32.76299364400627000,-96.78922479322043000)",500t000000N4XIBAA3
19-01417524,"4843 PARRY AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/18/2020 11:59:00 PM,Closed,12/10/2019 12:37:55 PM,01/27/2020 02:03:13 AM,12/10/2019 12:37:55 PM,Investigation Complete,Standard,API,"(32.78911630528329400,-96.75822393701584000)",500t000000Of0vbAAB
19-01333797,"2931 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/24/2020 11:59:00 PM,Closed,11/15/2019 11:14:05 AM,01/27/2020 02:41:16 AM,11/15/2019 11:14:05 AM,Investigation Complete,Standard,API,"(32.78513606137090600,-96.78196639155648000)",500t000000Oc88MAAR
19-01275295,"1987 OAK HILL CIR, DALLAS, TX, 75217",5,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/08/2020 11:59:00 PM,Closed,10/30/2019 02:18:41 PM,01/27/2020 02:40:32 AM,10/30/2019 02:18:41 PM,Investigation Complete,Standard,API,"(32.74656919406165000,-96.67324792471791000)",500t000000NusnhAAB
19-01176290,"BONNIE VIEW RD & E KIEST BLVD, DALLAS, TX, 75216",4,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,10/17/2019 07:11:37 AM,Closed,10/03/2019 07:11:37 AM,01/27/2020 12:57:26 AM,10/03/2019 07:11:37 AM,Work Completed,Standard,Proactive,"(32.72021615439943000,-96.78359038009850000)",500t000000N3uExAAJ
19-01193277,"1924 W JEFFERSON BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/17/2019 11:59:00 PM,Closed,10/08/2019 08:17:18 AM,01/27/2020 02:31:59 AM,10/08/2019 08:17:18 AM,Investigation Complete,Standard,API,"(32.74613686743601400,-96.85062974797695000)",500t000000N52TPAAZ
19-01337131,"205 S CARROLL AVE, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/24/2020 11:59:00 PM,In Progress,11/16/2019 08:47:31 AM,01/27/2020 02:41:14 AM,11/16/2019 08:47:31 AM,,Standard,API,"(32.79058784114484000,-96.76661825152937000)",500t000000OcDmvAAF
19-01191126,"610 W JEFFERSON BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/16/2019 11:59:00 PM,Closed,10/07/2019 01:42:47 PM,01/27/2020 01:54:10 AM,10/07/2019 01:42:47 PM,Investigation Complete,Standard,Phone,"(32.74298991614422500,-96.83238581205310000)",500t000000N4qbqAAB
19-01193595,"SKILLMAN ST & VANDERBILT AVE, DALLAS, TX, 75206",14,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,10/22/2019 08:57:38 AM,Closed,10/08/2019 08:57:38 AM,01/27/2020 02:32:09 AM,10/08/2019 08:57:38 AM,Work Completed,Standard,Proactive,"(32.82485749866776000,-96.76156954962597000)",500t000000N53JLAAZ
